160401,鸢尾花
122005,风雨兰
151801,康乃馨
122001,玉帘
122003,葱莲
124301,四翅月见草
140805,非洲菊
140807,巧克力波斯菊
111105,迷迭香
159401,交让木
140809,紫锥菊
111103,鼠尾草
111101,一串红
152903,茴香花
152901,翠雀
125501,马樱丹
150601,雪绒花
135101,勿忘草
140801,大波斯菊
140803,万寿菊
148301,萼距花
114601,酢浆草
114603,酸浆草(新春)
140811,五月艾
141901,千日红
140813,紫菀
140815,巧克力波斯菊(水着)
113501,狗尾草
152805,美洲石斛(水着)
152803,美洲石斛
125603,颠茄
152801,银兰
125601,乳茄
140701,流星花
140823,鼠趜草
112003,亚马逊百合
126403,朱砂根(六月新娘)
147501,倒地铃
126401,朱砂根
128701,猕猴桃
157303,心叶球兰(圣诞)
157301,心叶球兰
115501,蓝蝴蝶
150809,银叶菊
150805,翠菊
150803,矢车菊
150801,蒲公英
112001,雪花莲
133001,南十字圣帝
135301,羽扇槭
151903,苹果
151901,七竈
145101,香水草
124201,帚石楠
126501,金粟兰
128801,爪钩草
134101,金鱼草
113301,油橄榄
123101,橘柑
140901,仙客来
129601,野芹菜
131923,樱花
125003,缅栀花
131921,梅花(浴衣)
125001,飘香藤
131805,繁缕
131925,杏花(圣诞)
131803,肥皂草
117601,岩白菜
132901,银莲花
132905,侧金盏花
132903,圣诞玫瑰
132909,牛角花
132907,毛茛
152501,欧丁香
140401,玉蝉花
142701,山麦冬
150201,银扇草
154701,繁星花
132911,银莲花(巫女)
154703,六月雪
124003,夏南瓜
113001,初恋草
143801,小连翘
124001,王瓜
153601,天竺葵
132801,白蝴蝶兰
130501,非洲紫罗兰
150103,蜀葵
152403,金雀儿
152401,香豌豆
139201,松叶菊
110901,报春花
141801,石竹花
136101,槲寄生
141803,扶子花(巫女)
120701,桔梗
130801,木茼蒿
152709,紫郁金香
130805,麟托菊
152707,黄郁金香
130803,大丽菊
152705,红郁金香
152703,黑百合
116201,冬青
152701,赫蕉属
142901,铁线莲
158001,鸭跖草
120807,勋章菊
120809,佩兰
131901,草莓
154901,珊瑚花
131905,玫瑰
131903,梅花
131909,雪柳
152715,葱花
131907,樱花
152713,阳光百合
152711,白郁金香
117401,鹤望兰
120803,天人菊
120805,堆心菊
141701,地榆
120801,向日葵
131911,桃花
131915,樱桃
131913,花桃
131919,花桃(六月新娘)
131917,杏花
150301,羽衣甘蓝
154401,夜色福禄考
131401,铃兰
117101,腊梅
143501,日本芒草
132501,紫玉兰
155601,酸浆
111905,诺瓦利斯月季
111903,白玫瑰
111901,黑蔷薇
116001,一品红
116003,银边翠
111909,枇杷
121701,紫茎
121703,紫茎(圣诞)
156601,南天竹
110803,瓜叶菊
110801,雏菊
141101,薄荷
145701,旱金莲
141103,薰衣草
141105,绵毛水苏
157801,淫羊藿
132403,金合欢
153201,大花四照花
128201,马齿苋
132401,紫云英
153203,大花四照花(浴衣)
132407,羽扇豆
132405,刺槐
142201,白三叶草
144501,龙胆
142203,地肤
152001,雪滴花
121801,风铃花
112801,文心兰
110501,小圆彤
112809,日本小文心兰
112807,卡特兰
112805,石斛兰
112803,大花蕙兰
124901,老鼠簕
143701,美人蕉
111701,山茶花
132701,梦魔
111703,山茶花(花嫁)
118101,月兔耳
122711,百合
142501,茉莉
144803,常春藤
142503,杜鹃花
144805,常春藤(新春)
131501,东北堇菜
156801,芍药
131505,三色堇(浴衣)
156803,芍药(万圣节)
131503,三色堇
112901,乌头草
120401,唐菖蒲
122701,卡萨布兰卡
117001,芦荟
141301,蓝莲花
122707,姬百合
141303,茶梅
122709,宫灯百合
122703,天香百合
122705,乙女百合
130301,油菜
153401,马蹄莲
130303,屈曲花
121601,拳参
140101,灯笼花
142401,金桂
142403,红花诘草
142405,胡枝子
123901,紫茉莉
112603,六出花(未来への感謝)
131001,仙人掌
112601,六出花
110301,香雪球
156301,日本冷杉
156303,松树
131003,仙人掌(花嫁)
114901,珊瑚塔
122401,鸡冠刺桐
124703,栀子花
124701,鸡屎藤
120101,木槿
124705,山野草
111503,黄三色堇
132101,日本扁柏
136701,龙舌兰
111501,白三色堇
155201,卫矛
134401,蒲包花
111505,紫三色堇
121301,睡莲
125901,蛇麻
121303,红花睡莲
121305,王莲
121307,王莲(六月新娘)
158501,野漆
110403,番红花
110401,德国鸢尾
110405,德国鸢尾(七夕)
120201,红花
120203,绣球花
119101,圣诞秋海棠
143001,茵芋
132003,垂筒花
111601,长鬃蓼
112811,文心兰(花嫁)
132001,朱顶红
161901,棣棠花
112815,日本小文心兰(圣诞)
112813,卡特兰(水着)
133501,兔尾草
135801,桉树
154201,球果假水晶兰
133503,兔尾草(万圣节)
112401,含羞草
154203,酸模树
156501,银线草
154205,皋月杜鹃
147901,凤眼蓝
141001,月下美人
141003,量天尺
124501,洋桔梗
136901,虞美人
155401,银杏树
144403,花丁子
123401,花烛属
144401,婆婆纳
114801,八角金盘
124603,酢浆草(七夕)
122303,月光花
122305,牵牛花
124601,白花酢浆草
122301,旋花
136801,牡丹
155301,枫树
153001,蜜柑
155303,枫树(圣诞)
157601,虎耳草
144301,倒挂金钟
148901,菠萝
142001,娜丽花
142003,彼岸花
121201,红姜
142005,彼岸花(巫女)

152807,薄叶兰
158101,麒麟草
150701,达尔马提亚风铃草
159501,海神花
150203,乔木绣球

127201,可可树
139801,荷包牡丹
142703,卷丹
157305,爱之蔓

161101,野芝麻
169701,荷花
128301,石榴
160403,燕子花


150811,苍耳
117603,岩白菜(cosplay女仆)

160101,花蔺
130401,小苍兰
150101,锦葵
125005,长春花

132913,亨利(梅花唐松草)

121203,姜荷花
124707,龙船花
151905,火棘
140817,蜡菊

164403,陌上繁花

151907,麻叶绣线菊
130001,瓶子草
110407,含羞草
148601,无梗接骨木

110809,杭白菊

147503,倒地铃(复活节)
160001,荷包蛋花
120813,堆心菊(复活节)
114701,火焰草

113503,狗尾草
110811,绒缨菊
125503,马缨丹(花祭り)
151803,须苞石竹

150807,蓍
120811,金光菊
139001,欧洲七叶树
112905,鹅掌草

157603,虎耳草

150105,马拉巴栗(发财树)
160901,金叶过路黄(圓葉遍地金)
119501,新娘花
131801,高雪轮(小町草)

142007,娜丽花(花嫁)
160801,嫁菜
121309,睡莲(花嫁)
114703,寒丁子

160003,富贵竹
